Priority,Weightage,-0.100444766,
05 min or less?,Weightage,-0.102897176,
Initial Priority,technician Pickup in < 15 Min?,-0.1040231,
Priority,Week Resolved,-0.10430356,
Automation Pickup in < 5 Min?,IE Catgory,-0.104443668,
Business Resolution Time (Hrs),technician Pickup in < 15 Min?,-0.105006814,
technician Pickup in < 15 Min?,Hour Resolved,-0.10571105,
Reopen count,technician Pickup in < 15 Min?,-0.105944213,
MTTR SLA Met?,05 min or less?,-0.107322823,
Knowledge Article Used?,Initial Priority,-0.107403592,
MTTR SLA Met?,Reopen count,-0.107515136,
Reopened?,KB Article Used?,-0.108669108,
Automation Pickup Time Range,Technician Pickup Time (Min),-0.110870003,
technician Pickup in < 15 Min?,Reopened?,-0.111512991,
IE Escalation Time (Hrs),Initial Priority,-0.114568354,
Highest Assignment group,Support Level(IE?),-0.119226843,
Week Resolved,Initial Priority,-0.120241658,
technician Pickup in < 15 Min?,IE Escalation Time (Hrs),-0.125191446,
Priority,Assignment group,-0.127817833,
IE Escalation Time (Hrs),Automation Pickup Time Range,-0.129387839,
Weightage,Hour Resolved,-0.131514784,
Week Resolved,05 min or less?,-0.132280743,
Technician Pickup Time (Min),Resolved < 60 Min?,-0.132437094,
IE Catgory,MTTR SLA Met?,-0.132871572,
Business Resolution Time (Hrs),Automation Pickup Time Range,-0.134515933,
Initial Priority,Weightage,-0.134610828,
Reassignment count,Business Resolution Time (Hrs),-0.140423628,
Automation Pickup in < 5 Min?,Automation Pickup Time (Min),-0.142120664,
Automation Pickup Time Range,Hour Resolved,-0.143395858,
Priority,IE Escalation Time (Hrs),-0.147434644,
Cluster,technician Pickup in < 15 Min?,-0.14759861,
Automation Pickup in < 5 Min?,Support Level(IE?),-0.151738345,
MTTR SLA Met?,Cluster,-0.152242765,
Resolved < 60 Min?,IE Escalation Time (Hrs),-0.154033228,
Technician Pickup Time (Min),Reassign > 5?,-0.15509357,
Resolved < 60 Min?,Automation Pickup in < 5 Min?,-0.158445592,
Reassignment count,Hour Resolved,-0.160636748,
technician Pickup in < 15 Min?,Technician Pickup Time (Min),-0.160921495,
Automation Pickup Time Range,Cluster,-0.164211532,
Business Resolution Time (Hrs),Resolved < 60 Min?,-0.165077805,
Week Escala0d,Cluster,-0.180109887,
IE Escalation Time (Hrs),Reassign > 5?,-0.183556381,
Week Resolved,Resolved < 60 Min?,-0.184640129,
Resolved < 60 Min?,Initial Priority,-0.186053341,
Cluster,Resolved < 60 Min?,-0.18707449,
Week Escala0d,Priority,-0.188322283,
MTTR SLA Met?,Reopened?,-0.192814195,
Week Resolved,Automation Pickup in < 5 Min?,-0.199439913,
IE Escalation Time (Hrs),Reassignment count,-0.201705087,
Technician Pickup Time (Min),Reassignment count,-0.203616301,
05 min or less?,Week Escala0d,-0.204011245,
Assignment group,Knowledge Article Used?,-0.205659099,
Knowledge Article Used?,Reassignment count,-0.206933785,
Weightage,Automation Pickup Time Range,-0.209703866,
Technician Pickup Time (Min),Knowledge Article Used?,-0.210196183,
Week Escala0d,Initial Priority,-0.210448904,
Automation Pickup in < 5 Min?,Reopen count,-0.21233046,
Highest Assignment group,Priority,-0.215088429,
Resolved < 60 Min?,Knowledge Article Used?,-0.217804248,
KB Article Used?,Reassignment count,-0.218748494,
Reopen count,05 min or less?,-0.219959466,
Automation Pickup in < 5 Min?,Week Escala0d,-0.226326721,
Automation Pickup Time (Min),Weightage,-0.22960749,
Automation Pickup Time Range,05 min or less?,-0.234599502,
Weightage,KB Article Used?,-0.234661522,
Hour Resolved,Reassign > 5?,-0.234686659,
Highest Assignment group,Knowledge Article Used?,-0.246944248,
Knowledge Article Used?,Reassign > 5?,-0.248852584,
Assignment group,Business Resolution Time (Hrs),-0.24938817,
KB Article Used?,Technician Pickup Time (Min),-0.250507119,
Reassign > 5?,Cluster,-0.251484709,
05 min or less?,Reopened?,-0.262514972,
Technician Pickup Time (Min),Highest Assignment group,-0.270314536,
Cluster,Reassignment count,-0.272162818,
Resolved < 60 Min?,Priority,-0.272194752,
Resolved < 60 Min?,KB Article Used?,-0.272470485,
Technician Pickup Time (Min),Assignment group,-0.273627363,
Weightage,Assignment group,-0.277355089,
Assignment group,IE Escalation Time (Hrs),-0.282059888,
Business Resolution Time (Hrs),MTTR SLA Met?,-0.28626825,
Reopened?,Automation Pickup in < 5 Min?,-0.296273686,
Highest Assignment group,Automation Pickup in < 5 Min?,-0.300778525,
Reassign > 5?,KB Article Used?,-0.304857688,
Automation Pickup in < 5 Min?,Assignment group,-0.305616932,
IE Escalation Time (Hrs),Highest Assignment group,-0.307440611,
Highest Assignment group,Business Resolution Time (Hrs),-0.332252629,
Assignment group,KB Article Used?,-0.332350565,
05 min or less?,Resolved < 60 Min?,-0.37195465,
05 min or less?,Reassignment count,-0.403083303,
KB Article Used?,Highest Assignment group,-0.403190601,
Assignment group,Cluster,-0.428935489,
Assignment group,Hour Resolved,-0.429298608,
IE Catgory,Weightage,-0.455042259,
Reassign > 5?,05 min or less?,-0.459787676,
Reassignment count,Automation Pickup in < 5 Min?,-0.480699282,
Reassign > 5?,Automation Pickup in < 5 Min?,-0.486914333,
Highest Assignment group,Cluster,-0.492809883,
Hour Resolved,Resolved < 60 Min?,-0.507654571,
Highest Assignment group,Hour Resolved,-0.543732271,
05 min or less?,Assignment group,-0.585420815,
Business Resolution Time (Hrs),Week Escala0d,-0.61063252,
05 min or less?,Highest Assignment group,-0.683306902,
Support Level(IE?),Weightage,-0.920094362,
Automation Pickup Time Range,Automation Pickup in < 5 Min?,-0.932144858,
Initial Priority,MTTA SLA Met?,,
